Frage,Antwort
What kind of processor does LeEco Le S3 have?,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.8 GHz Cortex-A72)
Which CPU is used in LeEco Le S3?,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.8 GHz Cortex-A72)
How much RAM does LeEco Le S3 have?,32 GB
What is the memory capacity of LeEco Le S3?,32 GB
What is the RAM size on LeEco Le S3?,32 GB
What is the resolution of the front camera on LeEco Le S3?,16 MP| phase detection autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on LeEco Le S3?,16 MP| phase detection autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on LeEco Le S3?,16 MP| phase detection autofocus| dual-LED (dual tone) flash
What is the price of LeEco Le S3?,200.0
How much does LeEco Le S3 cost?,200.0
What is the price tag of LeEco Le S3?,200.0
What is the published year of LeEco Le Pro3?,2016
When was LeEco Le Pro3 published?,2016
In which year was LeEco Le Pro3 released?,2016
What is the display resolution of LeEco Le Pro3?,5.5 inches 
What is the resolution of the display on LeEco Le Pro3?,5.5 inches 
How many pixels does the display of LeEco Le Pro3 have?,5.5 inches 
What is the display size of LeEco Le Pro3?,1080 x 1920 pixels 
How big is the display on LeEco Le Pro3?,1080 x 1920 pixels 
What is the diagonal size of the display on LeEco Le Pro3?,1080 x 1920 pixels 
What is the operating system of LeEco Le Pro3?,Android 6.0 
Which operating system does LeEco Le Pro3 use?,Android 6.0 
What is the software platform on LeEco Le Pro3?,Android 6.0 
What is the CPU of LeEco Le Pro3?,Quad-core (2x2.35 GHz Kryo & 2x2.0 GHz Kryo)
What kind of processor does LeEco Le Pro3 have?,Quad-core (2x2.35 GHz Kryo & 2x2.0 GHz Kryo)
Which CPU is used in LeEco Le Pro3?,Quad-core (2x2.35 GHz Kryo & 2x2.0 GHz Kryo)
How much RAM does LeEco Le Pro3 have?,32/64 GB
What is the memory capacity of LeEco Le Pro3?,32/64 GB
What is the RAM size on LeEco Le Pro3?,32/64 GB
What is the resolution of the front camera on LeEco Le Pro3?,16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on LeEco Le Pro3?,16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on LeEco Le Pro3?,16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the price of LeEco Le Pro3?,330.0
How much does LeEco Le Pro3 cost?,330.0
What is the price tag of LeEco Le Pro3?,330.0
What is the published year of LeEco Le Max 2?,2016
When was LeEco Le Max 2 published?,2016
In which year was LeEco Le Max 2 released?,2016
What is the display resolution of LeEco Le Max 2?,5.7 inches 
What is the resolution of the display on LeEco Le Max 2?,5.7 inches 
How many pixels does the display of LeEco Le Max 2 have?,5.7 inches 
What is the display size of LeEco Le Max 2?,1440 x 2560 pixels 
How big is the display on LeEco Le Max 2?,1440 x 2560 pixels 
What is the diagonal size of the display on LeEco Le Max 2?,1440 x 2560 pixels 
What is the operating system of LeEco Le Max 2?,Android 6.0 
Which operating system does LeEco Le Max 2 use?,Android 6.0 
What is the software platform on LeEco Le Max 2?,Android 6.0 
What is the CPU of LeEco Le Max 2?,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)
What kind of processor does LeEco Le Max 2 have?,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)
Which CPU is used in LeEco Le Max 2?,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)
How much RAM does LeEco Le Max 2 have?,32/64 GB
What is the memory capacity of LeEco Le Max 2?,32/64 GB
What is the RAM size on LeEco Le Max 2?,32/64 GB
What is the resolution of the front camera on LeEco Le Max 2?,21 MP| f/2.0| OIS| phase detection autofocus| dual-LED (dual tone) flash| 
How many megapixels is the front camera on LeEco Le Max 2?,21 MP| f/2.0| OIS| phase detection autofocus| dual-LED (dual tone) flash| 
What is the quality of the front-facing camera on LeEco Le Max 2?,21 MP| f/2.0| OIS| phase detection autofocus| dual-LED (dual tone) flash| 
What is the price of LeEco Le Max 2?,350.0
How much does LeEco Le Max 2 cost?,350.0
What is the price tag of LeEco Le Max 2?,350.0
What is the published year of LeEco Le 2 Pro?,2016
When was LeEco Le 2 Pro published?,2016
In which year was LeEco Le 2 Pro released?,2016
What is the display resolution of LeEco Le 2 Pro?,5.5 inches 
What is the resolution of the display on LeEco Le 2 Pro?,5.5 inches 
How many pixels does the display of LeEco Le 2 Pro have?,5.5 inches 
What is the display size of LeEco Le 2 Pro?,1080 x 1920 pixels 
How big is the display on LeEco Le 2 Pro?,1080 x 1920 pixels 
What is the diagonal size of the display on LeEco Le 2 Pro?,1080 x 1920 pixels 
What is the operating system of LeEco Le 2 Pro?,Android 6.0 
Which operating system does LeEco Le 2 Pro use?,Android 6.0 
What is the software platform on LeEco Le 2 Pro?,Android 6.0 
What is the CPU of LeEco Le 2 Pro?,Deca-core (2x2.5 GHz Cortex-A72| 4x2 GHz Cortex-A53| 4x1.4 GHz Cortex-A53)
What kind of processor does LeEco Le 2 Pro have?,Deca-core (2x2.5 GHz Cortex-A72| 4x2 GHz Cortex-A53| 4x1.4 GHz Cortex-A53)
Which CPU is used in LeEco Le 2 Pro?,Deca-core (2x2.5 GHz Cortex-A72| 4x2 GHz Cortex-A53| 4x1.4 GHz Cortex-A53)
How much RAM does LeEco Le 2 Pro have?,32 GB
What is the memory capacity of LeEco Le 2 Pro?,32 GB
What is the RAM size on LeEco Le 2 Pro?,32 GB
What is the resolution of the front camera on LeEco Le 2 Pro?,21 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on LeEco Le 2 Pro?,21 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on LeEco Le 2 Pro?,21 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the price of LeEco Le 2 Pro?,260.0
How much does LeEco Le 2 Pro cost?,260.0
What is the price tag of LeEco Le 2 Pro?,260.0
What is the published year of LeEco Le 2?,2016
When was LeEco Le 2 published?,2016
In which year was LeEco Le 2 released?,2016
What is the display resolution of LeEco Le 2?,5.5 inches 
What is the resolution of the display on LeEco Le 2?,5.5 inches 
How many pixels does the display of LeEco Le 2 have?,5.5 inches 
What is the display size of LeEco Le 2?,1080 x 1920 pixels 
How big is the display on LeEco Le 2?,1080 x 1920 pixels 
What is the diagonal size of the display on LeEco Le 2?,1080 x 1920 pixels 
What is the operating system of LeEco Le 2?,Android 6.0 
Which operating system does LeEco Le 2 use?,Android 6.0 
What is the software platform on LeEco Le 2?,Android 6.0 
What is the CPU of LeEco Le 2?,Deca-core (2x2.3 GHz Cortex-A72| 4x2 GHz Cortex-A53| 4x1.4 GHz Cortex-A53)
What kind of processor does LeEco Le 2 have?,Deca-core (2x2.3 GHz Cortex-A72| 4x2 GHz Cortex-A53| 4x1.4 GHz Cortex-A53)
Which CPU is used in LeEco Le 2?,Deca-core (2x2.3 GHz Cortex-A72| 4x2 GHz Cortex-A53| 4x1.4 GHz Cortex-A53)
How much RAM does LeEco Le 2 have?,32/64 GB
What is the memory capacity of LeEco Le 2?,32/64 GB
What is the RAM size on LeEco Le 2?,32/64 GB
What is the resolution of the front camera on LeEco Le 2?,16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on LeEco Le 2?,16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on LeEco Le 2?,16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the price of LeEco Le 2?,190.0
How much does LeEco Le 2 cost?,190.0
What is the price tag of LeEco Le 2?,190.0
What is the published year of LeEco Le Max?,2016
When was LeEco Le Max published?,2016
In which year was LeEco Le Max released?,2016
What is the display resolution of LeEco Le Max?,6.33 inches 
What is the resolution of the display on LeEco Le Max?,6.33 inches 
How many pixels does the display of LeEco Le Max have?,6.33 inches 
What is the display size of LeEco Le Max?,1440 x 2560 pixels 
How big is the display on LeEco Le Max?,1440 x 2560 pixels 
What is the diagonal size of the display on LeEco Le Max?,1440 x 2560 pixels 
What is the operating system of LeEco Le Max?,Android 5.1 
Which operating system does LeEco Le Max use?,Android 5.1 
What is the software platform on LeEco Le Max?,Android 5.1 
What is the CPU of LeEco Le Max?,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57)
What kind of processor does LeEco Le Max have?,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57)
Which CPU is used in LeEco Le Max?,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57)
How much RAM does LeEco Le Max have?,64/128 GB
What is the memory capacity of LeEco Le Max?,64/128 GB
What is the RAM size on LeEco Le Max?,64/128 GB
What is the resolution of the front camera on LeEco Le Max?,21 MP| f/2.0| autofocus| OIS| dual-LED (dual tone) flash
How many megapixels is the front camera on LeEco Le Max?,21 MP| f/2.0| autofocus| OIS| dual-LED (dual tone) flash
What is the quality of the front-facing camera on LeEco Le Max?,21 MP| f/2.0| autofocus| OIS| dual-LED (dual tone) flash
What is the price of LeEco Le Max?,350.0
How much does LeEco Le Max cost?,350.0
What is the price tag of LeEco Le Max?,350.0
What is the published year of LeEco Le 1s?,2016
When was LeEco Le 1s published?,2016
In which year was LeEco Le 1s released?,2016
What is the display resolution of LeEco Le 1s?,5.5 inches 
What is the resolution of the display on LeEco Le 1s?,5.5 inches 
How many pixels does the display of LeEco Le 1s have?,5.5 inches 
What is the display size of LeEco Le 1s?,1080 x 1920 pixels 
How big is the display on LeEco Le 1s?,1080 x 1920 pixels 
What is the diagonal size of the display on LeEco Le 1s?,1080 x 1920 pixels 
What is the operating system of LeEco Le 1s?,Android 5.0  - LeEco Le 1s
Which operating system does LeEco Le 1s use?,Android 5.0  - LeEco Le 1s
What is the software platform on LeEco Le 1s?,Android 5.0  - LeEco Le 1s
What is the CPU of LeEco Le 1s?,Octa-core 2.2 GHz Cortex-A53
What kind of processor does LeEco Le 1s have?,Octa-core 2.2 GHz Cortex-A53
Which CPU is used in LeEco Le 1s?,Octa-core 2.2 GHz Cortex-A53
How much RAM does LeEco Le 1s have?,32 GB
What is the memory capacity of LeEco Le 1s?,32 GB
What is the RAM size on LeEco Le 1s?,32 GB
What is the resolution of the front camera on LeEco Le 1s?,13 MP| autofocus| LED flash
How many megapixels is the front camera on LeEco Le 1s?,13 MP| autofocus| LED flash
What is the quality of the front-facing camera on LeEco Le 1s?,13 MP| autofocus| LED flash
What is the price of LeEco Le 1s?,210.0
How much does LeEco Le 1s cost?,210.0
What is the price tag of LeEco Le 1s?,210.0
What is the published year of Lenovo Tab 4 10 Plus?,2017
When was Lenovo Tab 4 10 Plus published?,2017
In which year was Lenovo Tab 4 10 Plus released?,2017
What is the display resolution of Lenovo Tab 4 10 Plus?,10.1 inches 
What is the resolution of the display on Lenovo Tab 4 10 Plus?,10.1 inches 
How many pixels does the display of Lenovo Tab 4 10 Plus have?,10.1 inches 
What is the display size of Lenovo Tab 4 10 Plus?,1200 x 1920 pixels 
How big is the display on Lenovo Tab 4 10 Plus?,1200 x 1920 pixels 
What is the diagonal size of the display on Lenovo Tab 4 10 Plus?,1200 x 1920 pixels 
What is the operating system of Lenovo Tab 4 10 Plus?,Android 7.0 
Which operating system does Lenovo Tab 4 10 Plus use?,Android 7.0 
What is the software platform on Lenovo Tab 4 10 Plus?,Android 7.0 
What is the CPU of Lenovo Tab 4 10 Plus?,Octa-core 2.0 GHz Cortex-A53
What kind of processor does Lenovo Tab 4 10 Plus have?,Octa-core 2.0 GHz Cortex-A53
Which CPU is used in Lenovo Tab 4 10 Plus?,Octa-core 2.0 GHz Cortex-A53
How much RAM does Lenovo Tab 4 10 Plus have?,16 GB
What is the memory capacity of Lenovo Tab 4 10 Plus?,16 GB
What is the RAM size on Lenovo Tab 4 10 Plus?,16 GB
What is the resolution of the front camera on Lenovo Tab 4 10 Plus?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Lenovo Tab 4 10 Plus?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Lenovo Tab 4 10 Plus?,8 MP| autofocus| LED flash
What is the price of Lenovo Tab 4 10 Plus?,240.0
How much does Lenovo Tab 4 10 Plus cost?,240.0
What is the price tag of Lenovo Tab 4 10 Plus?,240.0
What is the published year of Lenovo Tab 4 10?,2017
When was Lenovo Tab 4 10 published?,2017
In which year was Lenovo Tab 4 10 released?,2017
What is the display resolution of Lenovo Tab 4 10?,10.1 inches 
What is the resolution of the display on Lenovo Tab 4 10?,10.1 inches 
How many pixels does the display of Lenovo Tab 4 10 have?,10.1 inches 
What is the display size of Lenovo Tab 4 10?,800 x 1280 pixels 
How big is the display on Lenovo Tab 4 10?,800 x 1280 pixels 
What is the diagonal size of the display on Lenovo Tab 4 10?,800 x 1280 pixels 
What is the operating system of Lenovo Tab 4 10?,Android 7.0 
Which operating system does Lenovo Tab 4 10 use?,Android 7.0 
What is the software platform on Lenovo Tab 4 10?,Android 7.0 
What is the CPU of Lenovo Tab 4 10?,Quad-core 1.4 GHz Cortex-A53
What kind of processor does Lenovo Tab 4 10 have?,Quad-core 1.4 GHz Cortex-A53
Which CPU is used in Lenovo Tab 4 10?,Quad-core 1.4 GHz Cortex-A53
How much RAM does Lenovo Tab 4 10 have?,16/32 GB
What is the memory capacity of Lenovo Tab 4 10?,16/32 GB
What is the RAM size on Lenovo Tab 4 10?,16/32 GB
What is the resolution of the front camera on Lenovo Tab 4 10?,5 MP| autofocus
How many megapixels is the front camera on Lenovo Tab 4 10?,5 MP| autofocus
What is the quality of the front-facing camera on Lenovo Tab 4 10?,5 MP| autofocus
What is the price of Lenovo Tab 4 10?,140.0
How much does Lenovo Tab 4 10 cost?,140.0
What is the price tag of Lenovo Tab 4 10?,140.0
What is the published year of Lenovo Tab 4 8 Plus?,2017
When was Lenovo Tab 4 8 Plus published?,2017
In which year was Lenovo Tab 4 8 Plus released?,2017
What is the display resolution of Lenovo Tab 4 8 Plus?,8.0 inches 
What is the resolution of the display on Lenovo Tab 4 8 Plus?,8.0 inches 
How many pixels does the display of Lenovo Tab 4 8 Plus have?,8.0 inches 
What is the display size of Lenovo Tab 4 8 Plus?,1200 x 1920 pixels 
How big is the display on Lenovo Tab 4 8 Plus?,1200 x 1920 pixels 
What is the diagonal size of the display on Lenovo Tab 4 8 Plus?,1200 x 1920 pixels 
What is the operating system of Lenovo Tab 4 8 Plus?,Android 7.0 
Which operating system does Lenovo Tab 4 8 Plus use?,Android 7.0 
What is the software platform on Lenovo Tab 4 8 Plus?,Android 7.0 
What is the CPU of Lenovo Tab 4 8 Plus?,Octa-core 2.0 GHz Cortex-A53
What kind of processor does Lenovo Tab 4 8 Plus have?,Octa-core 2.0 GHz Cortex-A53
Which CPU is used in Lenovo Tab 4 8 Plus?,Octa-core 2.0 GHz Cortex-A53
How much RAM does Lenovo Tab 4 8 Plus have?,16 GB
What is the memory capacity of Lenovo Tab 4 8 Plus?,16 GB
What is the RAM size on Lenovo Tab 4 8 Plus?,16 GB
What is the resolution of the front camera on Lenovo Tab 4 8 Plus?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Lenovo Tab 4 8 Plus?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Lenovo Tab 4 8 Plus?,8 MP| autofocus| LED flash
